"barrier_poly_id","country","area_km2","n_species_supported","Beaver","Bison","Brown Bear","Elk","Lynx","Pine Marten","Wild Boar","Wildcat"
340572,"England",60.00151186218,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
340694,"England",1733.31940581495,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
343551,"England",70.7123877657958,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
346651,"England",28.3895987567723,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
347097,"England",29.1389119653806,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
347319,"England",119.888215977986,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
347882,"England",18.4040809891701,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
362462,"England",33.6141771377522,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
464591,"England",107.40400541054,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
475871,"England",59.2883529938777,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
478187,"England",50.9838020616025,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
478188,"England",112.035512969218,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
478246,"England",90.4777848491604,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
487150,"England",51.5225669430004,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
497448,"England",14.8797110394353,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
556977,"England",77.1687339309148,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
564401,"England",201.385686536414,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
574601,"England",46.510768503554,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
584893,"England",29.8861613114786,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
585247,"England",57.7203911280113,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
609555,"England",49.3650768610116,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
679389,"England",37.0368179630587,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
691424,"England",17.757728898948,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
694431,"England",221.187850588214,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
716989,"England",77.6300006443753,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
716996,"England",51.8757807191987,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
717333,"England",103.498546355269,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
720766,"England",17.1865926084656,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
727770,"England",123.826801332928,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
761327,"England",39.1064062363907,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
789651,"England",218.939904887361,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
